conceptid,imageid1,imageid2,imageid3,imageid4,labeloverride,description,Name
ky24m9en,a2nap5d2,a2y94fxr,a7stwruj,a8jvssqq,,"Historical manuscripts on parchment, palm leaf and other materials, in languages including Latin, Sanskrit, Arabic, Persian and Chinese dialects."
hv3ueb5k,a5jzwgpy,a3mxahaz,a5fznb67,a3qqp6wq,,"Caricatures and prints, many from the 18th and 19th centuries that make humorous social or political points on health-related topics."
qj5kj8rz,b7kapq9t,am3knqcq,bg6qwc66,bcwcyb3x,,"Maps reveal shifting views of the world and health, charting disease spread, global exploration and medical journeys."
rasp7aye,c8qxk2um,drrrpaxn,feey4v72,jc66t5vw,Medical Officer of Health (MOH) reports,"Annual MOH reports from the mid-19th century to the 1970s, giving statistical data about births, deaths and diseases."
byqnbpfc,bytbdxru,abbjtdpp,syr99yk8,b794ccmp,,"From 16th-century plague warnings to bold HIV campaigns, posters reveal the power of graphic design to help shape public health messaging through time."
pestkwqm,a2sahwbs,agvp5r7e,aegz5w4d,a62y95ed,,"Song sheets dating back to the 15th century weave health metaphors into political commentary, from satirical takes on medical sales to 19th century jingles."
nns7bsba,a2mpba3h,a2yt2rdr,a2rxefs5,a2sqs3qq,,"Our extensive collection of paintings explores human health all over the world, depicting illness, anatomy, traditions and medical practices."
e8kur96g,ma8ajebn,qjgnr7xr,q29f2xv3,mcsh2hy3,,"Poems in the collection give voice to personal experiences of health, healing and being human."
gk2eca5r,auxg2jxw,,,,,"Notes, letters and sketches document the lasting impact, through hygiene and data-driven reform, of Florence Nightingale (1820–1910) on healthcare worldwide."
up98mqb8,ygmf46fy,,,,Bryan Charnley,"Self-portraits, vivid paintings and diary notes by British artist Bryan Charnley (1949–1991) show the raw emotional and psychological landscape of mental illness."
usgkq8dj,ajekvakb,axbpfqa5,bd55phu6,cdmrt3d5,Amedeo John Engel Terzi,Vivid medical and zoological drawings by the prolific illustrator and entomologist A J E Terzi (1872–1956).
c24wmx3e,aaka8ee8,c8tcb5qg,bqhysgu8,cg6mnaju,,"A large collection from the personal library of British artist, author and socialist William Morris (1834–1896), including many works marked with his Kelmscott House bookplate."
umqzyxwk,aaaj45t9,akbhfru4,adwwf6cj,ff3ezyqq,,Burroughs Wellcome & Co. was a pharmaceutical firm founded in 1880 by Americans Henry Wellcome and Silas Burroughs.
q7c2xvdk,aek73ggp,bspd4fgu,cavbnkaq,ep45tmp2,,"Works by the pioneering 19th-century photographer Julia Margaret Cameron (1815–1879), including portraits of renowned Victorian figures and allegorical scenes."
w7yp9m3v,a2dvxw3b,a3a7hme2,a995ataj,a8vh5h3q,James Gardiner,Historian James Gardiner's collection of postcards and photographs exploring gender and sexuality in the 19th and 20th centuries.
rtwg3paj,a4sjq34g,d728urvv,fdjnjwzf,gn342hbs,,Postcards and stamps from UK postal service company celebrating major anniversaries such as the birth of the NHS.
d5ghwutb,akv6k5mb,aa3ag2s6,ce4ebujy,dduppzws,,"Explore the history of Ethiopia through ancient manuscripts, early European accounts, compelling public health campaigns, and more."
a7gmt7ff,a2psjcu4,a3hxts7a,a32mstv2,a2se4jnu,,"The kaleidoscope of innovation and adversity in science and medicine that shaped London’s past, from outbreaks to breakthroughs."
caew98cx,a2zwp637,a5psvwcf,a6b7n5qr,a6q5ta7a,,"Explore the history of China through photographs, early manuscripts on Chinese medicine and papers from the Opium Wars and the Cultural Revolution."
h8fuyw3g,ashpjkv4,ber9qhum,ahd2n66u,a5xw8wzb,,"Learn more about Sudan, from milestone moments in Sudanese medical research, to the archaeological excavations at Jebel Moya and the country's colonial history."
vcqcqced,a9tq3xsj,af2hf93s,at5eme3p,bc6xvfm2,,"Wellcome has a rich collection of historical materials relating to Japan and Japanese culture, including prints, paintings, manuscripts and books."
u4y59z2p,a7hxh92x,acg8pxza,bzmjmrd3,danjdp5p,,"Materials from South America reveal Indigenous experiences, colonial impacts, and the interaction between traditional and Western medicine."
zwu7frtk,a4qzxn69,a68662n2,a6zbjqf8,a87js7rw,,"Our South Asian collections include historical manuscripts in the region’s many languages, documents from the British Raj, and contemporary public health materials."
nb2nvbwj,a46vpb4u,aqzfqu73,cqerv8s4,dnqdv9f6,,"Journey through Nigeria's healthcare history using archival medical reports, breakthrough research, and colourful family-planning lithographs."
khvwwfrk,a2fnh453,abq8y7sv,aa743fzy,arxq26dg,,"Mexico’s medico-cultural history is shown through paintings, artifacts, Aztec figures, legal documents and pharmaceutical advertisements."
