id,label,description,image_url
q7c2xvdk,,"Works by the pioneering 19th-century photographer Julia Margaret Cameron (1815–1879), including portraits of renowned Victorian figures and allegorical scenes.",https://iiif.wellcomecollection.org/image/V0026543/info.json||https://iiif.wellcomecollection.org/image/V0027591/info.json||https://iiif.wellcomecollection.org/image/L0044662/info.json||https://iiif.wellcomecollection.org/image/b11624590_V0027587-LS-LH.jp2/info.json
w7yp9m3v,James Gardiner,Historian James Gardiner's collection of postcards and photographs exploring gender and sexuality in the 19th and 20th centuries.,https://iiif.wellcomecollection.org/image/B20588823_0001.JP2/info.json||https://iiif.wellcomecollection.org/image/B20451982_0001.JP2/info.json||https://iiif.wellcomecollection.org/image/B20594173_0001.JP2/info.json||https://iiif.wellcomecollection.org/image/B20467503_0001.JP2/info.json
rtwg3paj,,Postcards and stamps from UK postal service company celebrating major anniversaries such as the birth of the NHS.,https://iiif.wellcomecollection.org/image/b1669479x_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b16739139_EPH_35_20_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b16739188_EPH_35_26_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b16739152_EPH_35_24_0001.jp2/info.json
d5ghwutb,,"Explore the history of Ethiopia through ancient manuscripts, early European accounts, compelling public health campaigns, and more.",https://iiif.wellcomecollection.org/image/B17526292.JP2/info.json||https://iiif.wellcomecollection.org/image/B17543216.JP2/info.json||https://iiif.wellcomecollection.org/image/B17526164_0001.JP2/info.json||https://iiif.wellcomecollection.org/image/V0032669/info.json
a7gmt7ff,,"The kaleidoscope of innovation and adversity in science and medicine that shaped London’s past, from outbreaks to breakthroughs.",https://iiif.wellcomecollection.org/image/B16589907.JP2/info.json||https://iiif.wellcomecollection.org/image/V0013103/info.json||https://iiif.wellcomecollection.org/image/b18039388_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b28641875_0001.jp2/info.json
caew98cx,,"Explore the history of China through photographs, early manuscripts on Chinese medicine and papers from the Opium Wars and the Cultural Revolution.",https://iiif.wellcomecollection.org/image/V0037167/info.json||https://iiif.wellcomecollection.org/image/V0047443/info.json||https://iiif.wellcomecollection.org/image/V0046761/info.json||https://iiif.wellcomecollection.org/image/V0046867EL/info.json
h8fuyw3g,,"Learn more about Sudan, from milestone moments in Sudanese medical research, to the archaeological excavations at Jebel Moya and the country's colonial history.",https://iiif.wellcomecollection.org/image/V0041698/info.json||https://iiif.wellcomecollection.org/image/L0031487/info.json||https://iiif.wellcomecollection.org/image/b29224548_0002_0102.jp2/info.json||https://iiif.wellcomecollection.org/image/b29224548_0002_0035.jp2/info.json
vcqcqced,,"Wellcome has a rich collection of historical materials relating to Japan and Japanese culture, including prints, paintings, manuscripts and books.",https://iiif.wellcomecollection.org/image/V0047457ER/info.json||https://iiif.wellcomecollection.org/image/V0037388/info.json||https://iiif.wellcomecollection.org/image/b16785447_l0054953.jp2/info.json||https://iiif.wellcomecollection.org/image/L0070289/info.json
u4y59z2p,,"Materials from South America reveal Indigenous experiences, colonial impacts, and the interaction between traditional and Western medicine.",https://iiif.wellcomecollection.org/image/L0076878/info.json||https://iiif.wellcomecollection.org/image/L0076881/info.json||https://iiif.wellcomecollection.org/image/L0076886/info.json||https://iiif.wellcomecollection.org/image/L0063398/info.json
zwu7frtk,,"Our South Asian collections include historical manuscripts in the region’s many languages, documents from the British Raj, and contemporary public health materials.",https://iiif.wellcomecollection.org/image/b16773317_l0054473.jp2/info.json||https://iiif.wellcomecollection.org/image/V0041330/info.json||https://iiif.wellcomecollection.org/image/b29223155_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/L0079451/info.json
nb2nvbwj,,"Journey through Nigeria's healthcare history using archival medical reports, breakthrough research, and colourful family-planning lithographs.",https://iiif.wellcomecollection.org/image/B18042922.JP2/info.json||https://iiif.wellcomecollection.org/image/B17719525.JP2/info.json||https://iiif.wellcomecollection.org/image/B17947571.JP2/info.json||https://iiif.wellcomecollection.org/image/B17720023.JP2/info.json
khvwwfrk,,"Mexico’s medico-cultural history is shown through paintings, artifacts, Aztec figures, legal documents and pharmaceutical advertisements.",https://iiif.wellcomecollection.org/image/b28887700_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b28887955_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/b28887050_0001.jp2/info.json||https://iiif.wellcomecollection.org/image/L0022111/info.json
